STT,doi/PMID,Abstract/Introduction,Journal type,experiment,model,relation ,display_relation,x_name ,x_type ,y_name,y_type,note,expert opinion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,38253667,Introduction,original article,in vivo,mice,phenotype_protein,dysregulation,cGAS,protein/gene,Lysosomal storage disorders,disease,"Protein cGAS tích tụ bất thường gần lysosome trong các bệnh LSD. Trích: ""abnormal accumulation of ... cGAS proteins near lysosomes"".",done,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,38253667,Introduction,original article,in vivo,mice,pathway_phenotype,,cGAS-STING,pathway,neuronal death,phenotype,"Sự kích hoạt tín hiệu cGAS-STING trong LSD dẫn đến chết tế bào thần kinh. Trích: ""leads to neuronal death"".",done,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,38253667,Introduction,original article,in vivo,mice,pathway_phenotype,,cGAS-STING,pathway,disease progression,phenotype,"Viêm thần kinh là một biểu hiện kiểu hình của các bệnh LSD. Trích: ""leads to ... neuroinflammation"".",done,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,38253667,Introduction,original article,in vivo,mice,disease_phenotype_positive,,Lysosomal storage disorders,disease,motor dysfunction,phenotype,"Rối loạn vận động phát sinh từ sự kích hoạt cGAS-STING trong LSD. Trích: ""leads to ... motor dysfunction"".",done,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,38253667,Introduction,original article,in vivo,mice,disease_phenotype_positive,,Lysosomal storage disorders,disease,cytolosic dsDNA accumulation,phenotype,"Rối loạn vận động phát sinh từ sự kích hoạt cGAS-STING trong LSD. Trích: ""leads to ... motor dysfunction"".",done,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,38253667,Introduction,original article,in vivo,mice,bioprocess_protein,,cGAS,protein/gene,innate immunity,biological_process,"Nghiên cứu phát hiện mối liên hệ giữa khiếm khuyết lysosome và miễn dịch bẩm sinh thông qua cGAS. Trích: ""connection between lysosomal defects and innate immunity"".",done,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,38253667,Abstract,original article,in vivo,mice,pathology_phenotype,,lysosomal defects,pathology,neuronal death,phenotype,"Các khiếm khuyết ở lysosome thúc đẩy quá trình chết dần của các tế bào chức năng. Trích: ""progressive death of functional cells due to lysosomal defects"".",done,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,38253667,Introduction,original article,in vivo,mice,pathway_phenotype,,cGAS-STING,pathway,cytolosic dsDNA accumulation,phenotype,"Viêm thần kinh là một biểu hiện kiểu hình của các bệnh LSD. Trích: ""leads to ... neuroinflammation"".",done,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,38142760,Abstract,original article,in vivo,human,bioprocess_protein,,24S-hydroxycholesterol,protein/gene,cholesterol elimination,biological_process,"CYP46A1 là enzyme chính chịu trách nhiệm cho con đường đào thải cholesterol trong não. Trích: ""primary pathway for eliminating cholesterol in the brain"".",done,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,38142760,Abstract,original article,in vivo,human,disease_protein,,Cholesterol 24-hydroxylase ,protein/gene,Niemann-Pick Disease Type C,disease,"CYP46A1 được xác định là một đích điều trị tiềm năng cho bệnh NPC. Trích: ""potential therapeutic target in Niemann-Pick type C disease"".",done,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,38142760,Abstract,original article,in vivo,human,disease_disease,,neurodegenerative disorder,disease,Niemann-Pick Disease Type C,disease,"Bệnh NPC được phân loại là một rối loạn thoái hóa thần kinh hiếm gặp và gây tử vong. Trích: ""a rare and fatal neurodegenerative disorder"".",done,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,38142760,Abstract,original article,in vivo,human,disease_phenotype_positive,,Niemann-Pick type C disease,disease,cholesterol accumulation,phenotype,"Đặc điểm của bệnh NPC là sự tích tụ cholesterol trong các ngăn nội tiêu thể. Trích: ""characterized by cholesterol accumulation"".",done,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,38142760,Abstract,original article,in vivo,mice,phenotype_protein,,24S-hydroxycholesterol,protein/gene,prevented weight loss,phenotype,"Sự biểu hiện của CYP46A1 giúp ngăn chặn tình trạng sụt cân trên mô hình chuột NPC. Trích: ""partially prevented weight loss"".",done,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,38142760,Abstract,original article,in vivo,mice,phenotype_protein,,24S-hydroxycholesterol,protein/gene,prevented  hepatomegaly,phenotype,"CYP46A1 giúp ngăn chặn tình trạng gan to ở chuột thí nghiệm. Trích: ""partially prevented ... hepatomegaly"".",done,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,38142760,Abstract,original article,in vivo,mice,phenotype_protein,,24S-hydroxycholesterol,protein/gene,attenuated microgliosis,phenotype,"CYP46A1 làm giảm tình trạng tăng sinh vi bào đệm ở tiểu não chuột. Trích: ""attenuated microgliosis"".",done,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,38142760,Abstract,original article,in vivo,mice,phenotype_protein,,24S-hydroxycholesterol,protein/gene,attenuated lysosomal dysfunction,phenotype,"Biểu hiện CYP46A1 làm giảm rối loạn chức năng tiêu thể. Trích: ""attenuated ... lysosomal dysfunction"".",done,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,38142760,Introduction,original article,in vivo,mice,phenotype_protein,,24S-hydroxycholesterol,protein/gene,improved motor function,phenotype,"Nghiên cứu đánh giá sự cải thiện chức năng vận động khi biểu hiện quá mức CYP46A1. Trích: ""improve disease phenotype. ... as well as motor function"".",done,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,38142760,Introduction,original article,in vivo,mice,phenotype_protein,,24S-hydroxycholesterol,protein/gene, cholesterol elimination,phenotype,promoted a redistribution of brain cholesterol accumulated in late endosomes/lysosomes.,done,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,38142760,Introduction,original article,in vivo,mice,phenotype_anatomy,,cholesterol accumulation,phenotype,Brain,anatomy,,done,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,38142760,Abstract,original article,in vivo,human,phenotype_cellcomp,,cholesterol accumlation,phenotype,endolysosomal comparment,cellular_component,by cholesterol accumulation in endolysosomal compartments.,done,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,39643179,,original article,,,,,,,,,,LẠC ĐỀ-- BỎ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,39706535,Abstract,original article,in vivo,human,disease_disease,,neurogenetic disease,disease,Niemann-Pick Disease Type C,disease,"NP-C được phân loại là một bệnh thần kinh di truyền hiếm gặp. Trích: ""a rare neurogenetic disease"".",done,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,39706535,Introduction,original article,in vitro,cell line,drug_protein,target,U18666A,drug,NPC1,protein/gene,"U18666A hoạt động như một chất ức chế protein NPC1. Trích: ""the NPC1 inhibitor U18666A"".",done,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,39706535,Abstract,original article,in vitro,cell line,bioprocess_protein,,intracellular cholesterol trafficking,biological_process,NPC1,protein/gene,"NPC1 là protein chịu trách nhiệm vận chuyển cholesterol nội bào. Trích: ""cholesterol trafficking protein NPC1"".",done,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,39706535,Introduction,original article,in vitro,cell line,indication,,hydroxypropyl-β cyclodextrin ,drug,Niemann Pick Disease Type C ,disease,"HPβCD là một loại thuốc tiềm năng để điều trị bệnh NP-C. Trích: ""potential therapeutic for NP-C"".",done,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,39706535,Abstract,original article,in vitro,cell line,drug_bioprocess,,U18666A,drug,glycolysis,biological_process,"Sự ức chế NPC1 bằng U18666A làm tăng đáng kể quá trình đường phân. Trích: ""inhibition significantly increased glycolysis"".",done,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,39706535,Abstract,original article,in vitro,cell line,drug_bioprocess,,U18666A,drug,pentose phosphate pathway,biological_process,"U18666A làm tăng dòng chảy của con đường pentose phosphate. Trích: ""significantly increased ... pentose phosphate pathway flux"".",done,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,39706535,Abstract,original article,in vitro,cell line,drug_bioprocess,,U18666A,drug,mitochondrial metabolism,biological_process,"U18666A làm giảm quá trình chuyển hóa tại ty thể. Trích: ""decreasing mitochondrial metabolism"".",done,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,39706535,Abstract,original article,in vitro,cell line,drug_effect,,hydroxypropyl-β cyclodextrin ,drug,metabolic phenotype,phenotype,"HPβCD giúp khôi phục một phần kiểu hình chuyển hóa bị rối loạn. Trích: ""partially restored metabolic phenotype"".",done,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,39706535,Introduction,original article,in vitro,cell line,drug_effect,,U18666A,drug,cholesterol localization,phenotype,"U18666A ảnh hưởng đến sự khu trú của cholesterol trong tế bào. Trích: ""affected cholesterol localization"".",done,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,39706535,Introduction,original article,in vitro,cell line,drug_effect,,U18666A,drug,cell viability,phenotype,"Nghiên cứu xem xét tác động của chất ức chế NPC1 lên khả năng sống của tế bào. Trích: ""affected ... cell viability"".",done,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,39706535,Abstract,original article,in vitro,cell line,pathology_phenotype,,mitochondrial cholesterol accumulation,pathology,metabolic changes,phenotype,"Sự tích tụ cholesterol ở ty thể dẫn đến các thay đổi về chuyển hóa. Trích: ""driven by ... mitochondrial cholesterol accumulation"".",done,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,39706535,Abstract,original article,in vivo,human,disease_protein,mutation,Niemann Pick Disease Type C ,disease,NPC1,protein/gene,"""Niemann Pick Disease Type C (NP-C), a rare neurogenetic disease with no known cure, is caused by mutations in the cholesterol trafficking protein NPC1.""<br>Lý do: Văn bản xác định đột biến ở protein NPC1 là nguyên nhân gây ra bệnh lý NP-C.",done,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,39706535,Introduction,original article,in vitro,cell line,drug_protein,target,U18666A,drug,NPC1,protein/gene,"""We therefore investigated how disruption of intracellular cholesterol trafficking with the NPC1 inhibitor U18666A altered BMEC metabolism and glucose availability.""<br>Lý do: U18666A được xác định rõ là một chất ức chế tác động trực tiếp lên mục tiêu protein NPC1.",done,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,39706535,Abstract,original article,in vitro,cell line,indication,,hydroxypropyl-β cyclodextrin ,drug,Niemann Pick Disease Type C ,disease,"""Finally, we found that co-treatment with hydroxypropyl-β cyclodextrin (HPβCD) partially restored metabolic phenotype in U18666A-treated BMECs, suggesting that this drug may have therapeutic effects on the brain endothelium in NP-C.""<br>Lý do: Văn bản đề xuất HPβCD có tác dụng điều trị tiềm năng đối với bệnh NPC.",done,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
