entity_name,entity_type,algo_accepted,algo_suggested_name,algo_cui,expert_accepted,expert_rejected,expert_suggested_name,expert_cui,note,PMID,relation,entity_side,entity_name_norm,expert_resolution,accepted_in_second_search
increased lysosomal permeability,phenotype,False,regulation of lysosomal membrane permeability,C3269164,False,True,positive regulation of lysosomal membrane permeability,C3269165,Psychiatric symptom,10.3390/cells10113122,disease_phenotype_positive,2,increased lysosomal permeability,not_accepted,no
attenuated glial activation,phenotype,False,glial cell activation,C4690080,True,False,,,inhibition of microglial cell activation,10.1515/nipt-2023-0027,drug_effect,2,attenuated glial activation,expert_cui,yes
activated glial suppression,phenotype,False,glial cell activation,C4690080,True,False,,,not found,10.3390/cells12242791,drug_effect,2,activated glial suppression,expert_cui,yes
inflammation suppression,phenotype,False,Decreased inflammatory response,C4022804,False,True,Inhibition of inflammatory response,C2255887,not found,10.3390/cells12242791,drug_effect,2,inflammation suppression,not_accepted,no
frequent +1 frameshifting,biological_process,False,translational frameshifting,C3821008,False,True,"Frameshifting, Ribosomal",C0282572,ok,10.1016/j.isci.2024.109413,bioprocess_protein,2,frequent +1 frameshifting,not_accepted,no
foamy neuron,phenotype,False,CNS foam cells,C5558248,False,True,Vacuolated neurons,C3806241,ok,10.1016/j.ymgme.2021.05.001,disease_phenotype_positive,2,foamy neuron,not_accepted,no
ameliorated late-stage disease severity,phenotype,False,Progressive neurologic deterioration,C1854838,True,False,,,not found,10.1371/journal.pone.0315005,drug_effect,2,ameliorated late-stage disease severity,expert_cui,yes
chronic neuroinflammation,phenotype,False,neuroinflammatory response,C5137640,True,False,,,not found,10.1007/s11011-025-01553-6,disease_phenotype_positive,2,chronic neuroinflammation,expert_cui,yes
postsynaptic receptors upregulation,phenotype,False,postsynaptic neurotransmitter receptor activity,C4328888,False,True,regulation of postsynaptic neurotransmitter receptor activity,C4328886,ok,10.1016/j.nbd.2025.107099,phenotype_phenotype,2,postsynaptic receptors upregulation,not_accepted,no
enlarged neuron,phenotype,False,Abnormal neuron morphology,C4022739,True,False,,,ok,10.1016/j.ymgme.2021.05.001,disease_phenotype_positive,2,enlarged neuron,expert_cui,yes
β-hexosaminidase mutation,protein/gene,False,Reduced beta-hexosaminidase A activity,C5970465,True,False,,,not found,10.1016/j.ibneur.2022.01.004,phenotype_protein,1,β-hexosaminidase mutation,expert_cui,yes
cerebellar symptoms,phenotype,False,cerebellar disease,C0007760,True,False,,,ok,10.5334/tohm.726,disease_phenotype_positive,2,cerebellar symptoms,expert_cui,yes
rapid central nervous system deterioration,phenotype,False,Rapid neurologic deterioration,C4024908,True,False,,,ok,10.1016/j.ymgme.2024.108615,phenotype_phenotype,2,rapid central nervous system deterioration,expert_cui,yes
inhibited neuroinflammation,phenotype,False,neuroinflammatory response,C5137640,False,True,negative regulation of neuroinflammatory response,C5137643,not found,10.1007/s11011-025-01553-6,drug_effect,2,inhibited neuroinflammation,not_accepted,no
rescued lysosomal accumulation,phenotype,False,lysosomal transport,C1156063,False,True,Increased Lysosomal Function,C1372391,ok,10.3390/jpm15050196,drug_effect,2,rescued lysosomal accumulation,not_accepted,no
lyso-platelet activating factors accumulation,phenotype,False,platelet activating factor catabolic process,C5380074,True,False,,,not found,10.1016/j.ymgme.2025.109180,disease_phenotype_positive,2,lyso-platelet activating factors accumulation,expert_cui,yes
prime editing,drug,False,viral RNA editing,C3821012,True,False,,,not found,10.1038/s41586-025-09732-2,drug_bioprocess|drug_effect,1,prime editing,expert_cui,yes
improved survival,phenotype,False,NF-kB is activated and signals survival,,True,False,,,not found,10.3390/cells12242791,drug_effect,2,improved survival,expert_accept_unresolved,no
sphingolipid hydrolases mutation,protein/gene,False,disorder of sphingolipid biosynthesis,C5680990,True,False,,,Sphingolipidoses,10.1007/s12031-021-01907-6,disease_protein,2,sphingolipid hydrolases mutation,expert_cui,yes
accelerated mature cathepsins release,phenotype,False,Increased circulating cathepsin D level,C5421667,False,True,,,ok,10.3390/cells10113122,disease_phenotype_positive,2,accelerated mature cathepsins release,not_accepted,no
neurocognitive function,phenotype,False,functional part of brain,C5410883,True,False,,,Neurocognitive,63_40817303 (article 63),drug_effect,2,neurocognitive function,expert_cui,yes
lysosomal undegraded metabolites accumulation,phenotype,False,Abnormality of lysosomal metabolism,C4025342,False,True,Lysosomal Storage Diseases,C0085078,not found,10.1016/j.ymgme.2021.05.001,disease_phenotype_positive,2,lysosomal undegraded metabolites accumulation,not_accepted,no
rescued disease pathology,phenotype,False,DNA repair disease,,True,False,,,uncertain,10.1038/s41586-025-09732-2,drug_effect,2,rescued disease pathology,expert_accept_unresolved,no
decreased phosphatidylserine,cellular_component,False,phosphatidylserine catabolic process,C1157952,False,True,phosphatidylserine catabolic process,C1157952,not found,10.3389/fmolb.2022.892248,cellcomp_protein,2,decreased phosphatidylserine,not_accepted,no
amyloid-beta accumulation,phenotype,False,amyloid-beta formation,C2247791,True,False,,,Amyloid deposition,10.1016/j.ibneur.2022.01.004,disease_phenotype_positive|phenotype_protein,2,amyloid-beta accumulation,expert_cui,yes
reduced neuroinflammation,phenotype,False,neuroinflammatory response,C5137640,True,False,,,not found,10.1007/s11011-025-01553-6,drug_effect,2,reduced neuroinflammation,expert_cui,yes
enzyme activity restoration,phenotype,False,enzyme activator activity,C1152522,True,False,,,not found,10.1038/s41586-025-09732-2,drug_effect,2,enzyme activity restoration,expert_cui,yes
recovered oxidative stress,phenotype,False,response to oxidative stress,C1155312,True,False,,,ok,10.3390/ijms231810672,drug_effect,2,recovered oxidative stress,expert_cui,yes
lifespan extension,phenotype,False,determination of adult lifespan,C2755803,False,True,Life Span,C0870809,not found,10.1016/j.omtm.2022.03.011,drug_effect,2,lifespan extension,not_accepted,no
macular brown spot,phenotype,False,Abnormality of macular pigmentation,C4024756,True,False,,,ok,10.1016/j.ajoc.2025.102381,disease_phenotype_positive|phenotype_anatomy|phenotype_phenotype,1|2,macular brown spot,expert_cui,yes
propagermanium + ketogenic diet,drug,False,Ameliorated by ketogenic diet,C5826444,True,False,,,50% ok?,10.1007/s11011-025-01553-6,drug_effect,1,propagermanium + ketogenic diet,expert_cui,yes
impaired autophagic flux,biological process | phenotype,False,Suppression of autophagy,C5137600,True,False,,,negative regulation of autophagy,10.1016/j.ymgme.2024.108140|10.1371/journal.pone.0280650|10.3390/cells10113122,disease_bioprocess|disease_phenotype_positive|drug_bioprocess,2,impaired autophagic flux,expert_cui,yes
enzyme β-hexosaminidase deficiency,phenotype,False,Increased serum beta-hexosaminidase,C2673361,False,True,Beta hexosaminidase deficiency,C5442502,Beta hexosaminidase deficiency,10.3390/ijms22136751,disease_phenotype_positive,2,enzyme β-hexosaminidase deficiency,not_accepted,no
iminosugar compounds,drug,False,Aminophosphonic acid-guanylate ester,,True,False,,,Aza Compounds,10.1080/14756366.2022.2073444,drug_effect,1,iminosugar compounds,expert_accept_unresolved,no
extended lifspan,phenotype,False,extension,C0231448,False,True,Life Span,C0870809,Neuronal vacuolation,10.1172/JCI183434,drug_effect,2,extended lifspan,not_accepted,no
