disease_cohort,path_id,anchor_disease_id,anchor_disease_name,anchor_disease_source,path_length,end_node_id,end_node_type,end_node_name,end_node_source,path_node_names,path_node_types,path_relations,novel_edge_count,literature_edge_count
Tay-Sachs,a447ee9c4bad123d,10100,Tay-Sachs disease,MONDO,2,89953,gene/protein,KLC4,NCBI,Tay-Sachs disease (disease) > SNCA (gene/protein) > KLC4 (gene/protein),disease > gene/protein > gene/protein,associated with > ppi,2,1
Tay-Sachs,c52bc19aaf1a3bcf,10100,Tay-Sachs disease,MONDO,2,7097,gene/protein,TLR2,NCBI,Tay-Sachs disease (disease) > SNCA (gene/protein) > TLR2 (gene/protein),disease > gene/protein > gene/protein,associated with > ppi,2,1
Tay-Sachs,10ecb55bb75bc863,10100,Tay-Sachs disease,MONDO,2,7345,gene/protein,UCHL1,NCBI,Tay-Sachs disease (disease) > SNCA (gene/protein) > UCHL1 (gene/protein),disease > gene/protein > gene/protein,associated with > ppi,2,1
Tay-Sachs,046b4d6cf7535e76,10100,Tay-Sachs disease,MONDO,2,163688,gene/protein,CALML6,NCBI,Tay-Sachs disease (disease) > SNCA (gene/protein) > CALML6 (gene/protein),disease > gene/protein > gene/protein,associated with > ppi,2,1
Tay-Sachs,97c9658b203a23b6,10100,Tay-Sachs disease,MONDO,2,3799,gene/protein,KIF5B,NCBI,Tay-Sachs disease (disease) > SNCA (gene/protein) > KIF5B (gene/protein),disease > gene/protein > gene/protein,associated with > ppi,2,1
Tay-Sachs,d4185c91b2082708,10100,Tay-Sachs disease,MONDO,2,810,gene/protein,CALML3,NCBI,Tay-Sachs disease (disease) > SNCA (gene/protein) > CALML3 (gene/protein),disease > gene/protein > gene/protein,associated with > ppi,2,1
Tay-Sachs,253a0f34e259ad56,10100,Tay-Sachs disease,MONDO,2,3309,gene/protein,HSPA5,NCBI,Tay-Sachs disease (disease) > SNCA (gene/protein) > HSPA5 (gene/protein),disease > gene/protein > gene/protein,associated with > ppi,2,1
Tay-Sachs,9463845ce9b0f0eb,10100,Tay-Sachs disease,MONDO,2,23400,gene/protein,ATP13A2,NCBI,Tay-Sachs disease (disease) > SNCA (gene/protein) > ATP13A2 (gene/protein),disease > gene/protein > gene/protein,associated with > ppi,2,1
Tay-Sachs,bb1f5e805d0677b1,10100,Tay-Sachs disease,MONDO,2,9804,gene/protein,TOMM20,NCBI,Tay-Sachs disease (disease) > SNCA (gene/protein) > TOMM20 (gene/protein),disease > gene/protein > gene/protein,associated with > ppi,2,1
Tay-Sachs,33e38b832dec6e4c,10100,Tay-Sachs disease,MONDO,2,51806,gene/protein,CALML5,NCBI,Tay-Sachs disease (disease) > SNCA (gene/protein) > CALML5 (gene/protein),disease > gene/protein > gene/protein,associated with > ppi,2,1
Tay-Sachs,4685ae863f9f811a,10100,Tay-Sachs disease,MONDO,2,7054,gene/protein,TH,NCBI,Tay-Sachs disease (disease) > SNCA (gene/protein) > TH (gene/protein),disease > gene/protein > gene/protein,associated with > ppi,2,1
Tay-Sachs,5e6dc7bfb0f64b0f,10100,Tay-Sachs disease,MONDO,2,147700,gene/protein,KLC3,NCBI,Tay-Sachs disease (disease) > SNCA (gene/protein) > KLC3 (gene/protein),disease > gene/protein > gene/protein,associated with > ppi,2,1
Tay-Sachs,243e0284169b5522,10100,Tay-Sachs disease,MONDO,2,6570,gene/protein,SLC18A1,NCBI,Tay-Sachs disease (disease) > SNCA (gene/protein) > SLC18A1 (gene/protein),disease > gene/protein > gene/protein,associated with > ppi,2,1
Tay-Sachs,a2ece19a4e538609,10100,Tay-Sachs disease,MONDO,2,3800,gene/protein,KIF5C,NCBI,Tay-Sachs disease (disease) > SNCA (gene/protein) > KIF5C (gene/protein),disease > gene/protein > gene/protein,associated with > ppi,2,1
Tay-Sachs,14e077c5472ae08b,10100,Tay-Sachs disease,MONDO,2,5621,gene/protein,PRNP,NCBI,Tay-Sachs disease (disease) > SNCA (gene/protein) > PRNP (gene/protein),disease > gene/protein > gene/protein,associated with > ppi,2,1
Tay-Sachs,88a24612bf0a0d62,10100,Tay-Sachs disease,MONDO,2,64837,gene/protein,KLC2,NCBI,Tay-Sachs disease (disease) > SNCA (gene/protein) > KLC2 (gene/protein),disease > gene/protein > gene/protein,associated with > ppi,2,1
Tay-Sachs,35bc58586ec55092,10100,Tay-Sachs disease,MONDO,2,3798,gene/protein,KIF5A,NCBI,Tay-Sachs disease (disease) > SNCA (gene/protein) > KIF5A (gene/protein),disease > gene/protein > gene/protein,associated with > ppi,2,1
Tay-Sachs,488f2d00aceb9630,10100,Tay-Sachs disease,MONDO,2,3831,gene/protein,KLC1,NCBI,Tay-Sachs disease (disease) > SNCA (gene/protein) > KLC1 (gene/protein),disease > gene/protein > gene/protein,associated with > ppi,2,1
Tay-Sachs,c034ac5f0adac784,10100,Tay-Sachs disease,MONDO,2,6844,gene/protein,VAMP2,NCBI,Tay-Sachs disease (disease) > SNCA (gene/protein) > VAMP2 (gene/protein),disease > gene/protein > gene/protein,associated with > ppi,2,1
Tay-Sachs,0cdd83676546efff,10100,Tay-Sachs disease,MONDO,2,91860,gene/protein,CALML4,NCBI,Tay-Sachs disease (disease) > SNCA (gene/protein) > CALML4 (gene/protein),disease > gene/protein > gene/protein,associated with > ppi,2,1
Tay-Sachs,0d6ad5af785a83b3,10100,Tay-Sachs disease,MONDO,2,6571,gene/protein,SLC18A2,NCBI,Tay-Sachs disease (disease) > SNCA (gene/protein) > SLC18A2 (gene/protein),disease > gene/protein > gene/protein,associated with > ppi,2,1
Tay-Sachs,a5e7ca9ed79de7f3,10100,Tay-Sachs disease,MONDO,2,DB04209,drug,Dequalinium,DrugBank,Tay-Sachs disease (disease) > SNCA (gene/protein) > Dequalinium (drug),disease > gene/protein > drug,associated with > target,2,1
Tay-Sachs,4081ea6a92e14ceb,10100,Tay-Sachs disease,MONDO,2,7079,disease,alcohol dependence,MONDO,Tay-Sachs disease (disease) > SNCA (gene/protein) > alcohol dependence (disease),disease > gene/protein > disease,associated with > associated with,2,1
Tay-Sachs,d47d0dadc04c71a0,10100,Tay-Sachs disease,MONDO,2,4456,disease,cocaine abuse,MONDO,Tay-Sachs disease (disease) > SNCA (gene/protein) > cocaine abuse (disease),disease > gene/protein > disease,associated with > associated with,2,1
Tay-Sachs,ef0986bf6d40ac79,10100,Tay-Sachs disease,MONDO,2,13340_14742_13625_859183_14604_10810_12466_11896_957576_13653_8443_5180_700116_1012984_10796_800369_10360_11220_11737_13167_975748_1012875_1012876_1012884_1012886,disease,Parkinson disease,MONDO_grouped,Tay-Sachs disease (disease) > SNCA (gene/protein) > Parkinson disease (disease),disease > gene/protein > disease,associated with > associated with,2,1
Tay-Sachs,f99d69bf3a6f5682,10100,Tay-Sachs disease,MONDO,2,4630,disease,substance-induced psychosis,MONDO,Tay-Sachs disease (disease) > SNCA (gene/protein) > substance-induced psychosis (disease),disease > gene/protein > disease,associated with > associated with,2,1
Tay-Sachs,f7e5b92eb487de9a,10100,Tay-Sachs disease,MONDO,2,2046,disease,alcohol abuse,MONDO,Tay-Sachs disease (disease) > SNCA (gene/protein) > alcohol abuse (disease),disease > gene/protein > disease,associated with > associated with,2,1
Tay-Sachs,0ac1a90089eefbfa,10100,Tay-Sachs disease,MONDO,2,5186,disease,cocaine dependence,MONDO,Tay-Sachs disease (disease) > SNCA (gene/protein) > cocaine dependence (disease),disease > gene/protein > disease,associated with > associated with,2,1
Tay-Sachs,ac7d03fe85a6a961,10100,Tay-Sachs disease,MONDO,2,828,disease,juvenile-onset Parkinson disease,MONDO,Tay-Sachs disease (disease) > SNCA (gene/protein) > juvenile-onset Parkinson disease (disease),disease > gene/protein > disease,associated with > associated with,2,1
Tay-Sachs,9854204baee66a7e,10100,Tay-Sachs disease,MONDO,2,9830_37747_20214,disease,posterior corneal dystrophy,MONDO_grouped,Tay-Sachs disease (disease) > SNCA (gene/protein) > posterior corneal dystrophy (disease),disease > gene/protein > disease,associated with > associated with,2,1
Tay-Sachs,e4e6f6ef0f5014cb,10100,Tay-Sachs disease,MONDO,2,11562_11764_8200,disease,autosomal dominant Parkinson disease,MONDO_grouped,Tay-Sachs disease (disease) > SNCA (gene/protein) > autosomal dominant Parkinson disease (disease),disease > gene/protein > disease,associated with > associated with,2,1
Tay-Sachs,bce57cc63e37f1d7,10100,Tay-Sachs disease,MONDO,2,10820,disease,autosomal recessive juvenile Parkinson disease 2,MONDO,Tay-Sachs disease (disease) > SNCA (gene/protein) > autosomal recessive juvenile Parkinson disease 2 (disease),disease > gene/protein > disease,associated with > associated with,2,1
Tay-Sachs,fca28c7173a264cf,10100,Tay-Sachs disease,MONDO,2,12369_7915_859083_1010118_12835_10433_11138_11520_11560_11807_11942_11943_11944_12036_12361_12403_12404_12584_12834_12836_12884_13152_1010733_1010734_1060174_1060176_1060185,disease,systemic lupus erythematosus,MONDO_grouped,Tay-Sachs disease (disease) > SNCA (gene/protein) > systemic lupus erythematosus (disease),disease > gene/protein > disease,associated with > associated with,2,1
Tay-Sachs,4659b6add9f320d8,10100,Tay-Sachs disease,MONDO,2,21042,disease,glioma,MONDO,Tay-Sachs disease (disease) > SNCA (gene/protein) > glioma (disease),disease > gene/protein > disease,associated with > associated with,2,1
Tay-Sachs,eab3838f0e593bc9,10100,Tay-Sachs disease,MONDO,2,16264_5543_21176_21177,disease,autoimmune hepatitis,MONDO_grouped,Tay-Sachs disease (disease) > SNCA (gene/protein) > autoimmune hepatitis (disease),disease > gene/protein > disease,associated with > associated with,2,1
Tay-Sachs,59557c314c1241ab,10100,Tay-Sachs disease,MONDO,2,5580,disease,esophageal squamous cell carcinoma,MONDO,Tay-Sachs disease (disease) > SNCA (gene/protein) > esophageal squamous cell carcinoma (disease),disease > gene/protein > disease,associated with > associated with,2,1
Tay-Sachs,c78fb08575634226,10100,Tay-Sachs disease,MONDO,2,8558,disease,autoimmune thrombocytopenic purpura,MONDO,Tay-Sachs disease (disease) > SNCA (gene/protein) > autoimmune thrombocytopenic purpura (disease),disease > gene/protein > disease,associated with > associated with,2,1
Tay-Sachs,908dd9f235164651,10100,Tay-Sachs disease,MONDO,2,15459,disease,nasopharyngeal carcinoma,MONDO,Tay-Sachs disease (disease) > SNCA (gene/protein) > nasopharyngeal carcinoma (disease),disease > gene/protein > disease,associated with > associated with,2,1
Tay-Sachs,22a1524b1339cddd,10100,Tay-Sachs disease,MONDO,2,5015,disease,diabetes mellitus,MONDO,Tay-Sachs disease (disease) > SNCA (gene/protein) > diabetes mellitus (disease),disease > gene/protein > disease,associated with > associated with,2,1
Tay-Sachs,77313b15ed4db1ec,10100,Tay-Sachs disease,MONDO,2,18905,disease,diffuse large B-cell lymphoma,MONDO,Tay-Sachs disease (disease) > SNCA (gene/protein) > diffuse large B-cell lymphoma (disease),disease > gene/protein > disease,associated with > associated with,2,1
Tay-Sachs,35391e1e1b140baa,10100,Tay-Sachs disease,MONDO,2,3847,disease,hereditary disease,MONDO,Tay-Sachs disease (disease) > SNCA (gene/protein) > hereditary disease (disease),disease > gene/protein > disease,associated with > associated with,2,1
Tay-Sachs,988225194ee21245,10100,Tay-Sachs disease,MONDO,2,5061,disease,lung adenocarcinoma,MONDO,Tay-Sachs disease (disease) > SNCA (gene/protein) > lung adenocarcinoma (disease),disease > gene/protein > disease,associated with > associated with,2,1
Tay-Sachs,286de62e8349e9f4,10100,Tay-Sachs disease,MONDO,2,5062,disease,lymphoma,MONDO,Tay-Sachs disease (disease) > SNCA (gene/protein) > lymphoma (disease),disease > gene/protein > disease,associated with > associated with,2,1
Tay-Sachs,a9c8a69ccb688974,10100,Tay-Sachs disease,MONDO,2,5070,disease,neoplasm,MONDO,Tay-Sachs disease (disease) > SNCA (gene/protein) > neoplasm (disease),disease > gene/protein > disease,associated with > associated with,2,1
Tay-Sachs,d6acc48fdd1adaca,10100,Tay-Sachs disease,MONDO,2,9807_2636_2631_3890_2628_6246,disease,osteosarcoma,MONDO_grouped,Tay-Sachs disease (disease) > SNCA (gene/protein) > osteosarcoma (disease),disease > gene/protein > disease,associated with > associated with,2,1
Tay-Sachs,3777cea1395b43b4,10100,Tay-Sachs disease,MONDO,2,19438,disease,AL amyloidosis,MONDO,Tay-Sachs disease (disease) > SNCA (gene/protein) > AL amyloidosis (disease),disease > gene/protein > disease,associated with > associated with,2,1
Tay-Sachs,18f69635411ac57b,10100,Tay-Sachs disease,MONDO,2,22096,disease,pyogenic granuloma,MONDO,Tay-Sachs disease (disease) > SNCA (gene/protein) > pyogenic granuloma (disease),disease > gene/protein > disease,associated with > associated with,2,1
Tay-Sachs,1b7003a818896665,10100,Tay-Sachs disease,MONDO,2,24470,disease,benign chondrogenic neoplasm,MONDO,Tay-Sachs disease (disease) > SNCA (gene/protein) > benign chondrogenic neoplasm (disease),disease > gene/protein > disease,associated with > associated with,2,1
Tay-Sachs,319e3459f8832508,10100,Tay-Sachs disease,MONDO,2,4948,disease,B-cell chronic lymphocytic leukemia,MONDO,Tay-Sachs disease (disease) > SNCA (gene/protein) > B-cell chronic lymphocytic leukemia (disease),disease > gene/protein > disease,associated with > associated with,2,1
Tay-Sachs,53d5a232820a5f93,10100,Tay-Sachs disease,MONDO,2,10150,disease,head and neck squamous cell carcinoma,MONDO,Tay-Sachs disease (disease) > SNCA (gene/protein) > head and neck squamous cell carcinoma (disease),disease > gene/protein > disease,associated with > associated with,2,1
Tay-Sachs,dbe167d033c9500b,10100,Tay-Sachs disease,MONDO,2,8606_7256_20588_800183,disease,hepatocellular carcinoma,MONDO_grouped,Tay-Sachs disease (disease) > SNCA (gene/protein) > hepatocellular carcinoma (disease),disease > gene/protein > disease,associated with > associated with,2,1
Tay-Sachs,2ff02560048c4b7e,10100,Tay-Sachs disease,MONDO,2,18874,disease,acute myeloid leukemia,MONDO,Tay-Sachs disease (disease) > SNCA (gene/protein) > acute myeloid leukemia (disease),disease > gene/protein > disease,associated with > associated with,2,1
Tay-Sachs,eeff82b6108ff869,10100,Tay-Sachs disease,MONDO,2,24331,disease,colorectal carcinoma,MONDO,Tay-Sachs disease (disease) > SNCA (gene/protein) > colorectal carcinoma (disease),disease > gene/protein > disease,associated with > associated with,2,1
Tay-Sachs,3e78cc7bdbb0dc98,10100,Tay-Sachs disease,MONDO,2,3210,disease,intrahepatic cholangiocarcinoma,MONDO,Tay-Sachs disease (disease) > SNCA (gene/protein) > intrahepatic cholangiocarcinoma (disease),disease > gene/protein > disease,associated with > associated with,2,1
Tay-Sachs,66ce7fcca130b649,10100,Tay-Sachs disease,MONDO,2,4896_17207_43905_1989_5591_17839_1034,disease,pneumonitis,MONDO_grouped,Tay-Sachs disease (disease) > SNCA (gene/protein) > pneumonitis (disease),disease > gene/protein > disease,associated with > associated with,2,1
Tay-Sachs,9488808a7a9398e4,10100,Tay-Sachs disease,MONDO,2,8383,disease,rheumatoid arthritis,MONDO,Tay-Sachs disease (disease) > SNCA (gene/protein) > rheumatoid arthritis (disease),disease > gene/protein > disease,associated with > associated with,2,1
Tay-Sachs,d6794b1da1299cf9,10100,Tay-Sachs disease,MONDO,2,11122,disease,obesity disorder,MONDO,Tay-Sachs disease (disease) > SNCA (gene/protein) > obesity disorder (disease),disease > gene/protein > disease,associated with > associated with,2,1
Tay-Sachs,795ad37e74840b38,10100,Tay-Sachs disease,MONDO,2,5937,disease,REM sleep behavior disorder,MONDO,Tay-Sachs disease (disease) > SNCA (gene/protein) > REM sleep behavior disorder (disease),disease > gene/protein > disease,associated with > associated with,2,1
Tay-Sachs,8cbba1294d48b091,10100,Tay-Sachs disease,MONDO,2,775,disease,drug allergy,MONDO,Tay-Sachs disease (disease) > SNCA (gene/protein) > drug allergy (disease),disease > gene/protein > disease,associated with > associated with,2,1
Tay-Sachs,072886a6675b5900,10100,Tay-Sachs disease,MONDO,2,7803,disease,multiple system atrophy,MONDO,Tay-Sachs disease (disease) > SNCA (gene/protein) > multiple system atrophy (disease),disease > gene/protein > disease,associated with > associated with,2,1
Tay-Sachs,ed8d9c76cbbde60b,10100,Tay-Sachs disease,MONDO,2,6861_3688_21643,disease,well differentiated papillary mesothelioma,MONDO_grouped,Tay-Sachs disease (disease) > SNCA (gene/protein) > well differentiated papillary mesothelioma (disease),disease > gene/protein > disease,associated with > associated with,2,1
Tay-Sachs,a80f8abbaa703134,10100,Tay-Sachs disease,MONDO,2,5075,disease,thyroid gland papillary carcinoma,MONDO,Tay-Sachs disease (disease) > SNCA (gene/protein) > thyroid gland papillary carcinoma (disease),disease > gene/protein > disease,associated with > associated with,2,1
Tay-Sachs,309a9a2931565dab,10100,Tay-Sachs disease,MONDO,2,14494_13626_11269_8334_5083_100171_5923_13554_11084_11387_11434_11542_11573_11926_12542_12896_12959_13057,disease,psoriasis susceptibility to,MONDO_grouped,Tay-Sachs disease (disease) > SNCA (gene/protein) > psoriasis susceptibility to (disease),disease > gene/protein > disease,associated with > associated with,2,1
Tay-Sachs,8315c821bc3ddfaf,10100,Tay-Sachs disease,MONDO,2,5101,disease,ulcerative colitis,MONDO,Tay-Sachs disease (disease) > SNCA (gene/protein) > ulcerative colitis (disease),disease > gene/protein > disease,associated with > associated with,2,1
Tay-Sachs,e461cca5babe17d8,10100,Tay-Sachs disease,MONDO,2,916,disease,intestinal infectious disease,MONDO,Tay-Sachs disease (disease) > SNCA (gene/protein) > intestinal infectious disease (disease),disease > gene/protein > disease,associated with > associated with,2,1
Tay-Sachs,e3d047183215d949,10100,Tay-Sachs disease,MONDO,2,1056,disease,gastric cancer,MONDO,Tay-Sachs disease (disease) > SNCA (gene/protein) > gastric cancer (disease),disease > gene/protein > disease,associated with > associated with,2,1
Tay-Sachs,0991e977a387d8e5,10100,Tay-Sachs disease,MONDO,2,1639,disease,deficiency anemia,MONDO,Tay-Sachs disease (disease) > SNCA (gene/protein) > deficiency anemia (disease),disease > gene/protein > disease,associated with > associated with,2,1
Tay-Sachs,f6a50dba1ef23daa,10100,Tay-Sachs disease,MONDO,2,1898,disease,optic choroid disorder,MONDO,Tay-Sachs disease (disease) > SNCA (gene/protein) > optic choroid disorder (disease),disease > gene/protein > disease,associated with > associated with,2,1
Tay-Sachs,fce7e7fa2dfb5575,10100,Tay-Sachs disease,MONDO,2,2974,disease,cervical cancer,MONDO,Tay-Sachs disease (disease) > SNCA (gene/protein) > cervical cancer (disease),disease > gene/protein > disease,associated with > associated with,2,1
Tay-Sachs,920b4c0d0b2b0b32,10100,Tay-Sachs disease,MONDO,2,13600,disease,insomnia,MONDO,Tay-Sachs disease (disease) > SNCA (gene/protein) > insomnia (disease),disease > gene/protein > disease,associated with > associated with,2,1
Tay-Sachs,25e54b80083224fb,10100,Tay-Sachs disease,MONDO,2,4648,disease,vascular dementia,MONDO,Tay-Sachs disease (disease) > SNCA (gene/protein) > vascular dementia (disease),disease > gene/protein > disease,associated with > associated with,2,1
Tay-Sachs,936346221cab9f11,10100,Tay-Sachs disease,MONDO,2,12321_7088_7089_11513_11194_11913_12153_11743_4975_1011443_1011461_14265_100295_10422_11401_11561_11647_11777_12344_12609_12630_12631_14036_14316_1011460_1011462_1011463_1012917_1012926_1012927_1012928_1012929_1012938_1012949_1012950_1012951,disease,Alzheimer disease,MONDO_grouped,Tay-Sachs disease (disease) > SNCA (gene/protein) > Alzheimer disease (disease),disease > gene/protein > disease,associated with > associated with,2,1
Tay-Sachs,4584b64e6e8af5c5,10100,Tay-Sachs disease,MONDO,2,4992,disease,cancer,MONDO,Tay-Sachs disease (disease) > SNCA (gene/protein) > cancer (disease),disease > gene/protein > disease,associated with > associated with,2,1
Tay-Sachs,d03a16fcc8551bfd,10100,Tay-Sachs disease,MONDO,2,11552_10897_10943_8414_5090_13498_33312_100182_12054_11960_11280_11294_11295_11298_11307_11498_12879_13089_13506_14092_800358,disease,schizophrenia,MONDO_grouped,Tay-Sachs disease (disease) > SNCA (gene/protein) > schizophrenia (disease),disease > gene/protein > disease,associated with > associated with,2,1
Tay-Sachs,f959317f5b0eeda7,10100,Tay-Sachs disease,MONDO,2,11017_9381_7454_12919_5147_11123_1011401_12921_11068_11168_10863_9100_10861_10862_10864_10950_11016_11033_11167_11302_11572_12422_12920_12961_13078_44627_1011598_1011599_1011600_1011601,disease,type 1 diabetes mellitus,MONDO_grouped,Tay-Sachs disease (disease) > SNCA (gene/protein) > type 1 diabetes mellitus (disease),disease > gene/protein > disease,associated with > associated with,2,1
Tay-Sachs,8541b4f1ba71cbbb,10100,Tay-Sachs disease,MONDO,2,5148,disease,type 2 diabetes mellitus,MONDO,Tay-Sachs disease (disease) > SNCA (gene/protein) > type 2 diabetes mellitus (disease),disease > gene/protein > disease,associated with > associated with,2,1
Tay-Sachs,823dd9c5d5e202d1,10100,Tay-Sachs disease,MONDO,2,54581_54582_7142,disease,Townes-Brocks syndrome,MONDO_grouped,Tay-Sachs disease (disease) > SNCA (gene/protein) > Townes-Brocks syndrome (disease),disease > gene/protein > disease,associated with > associated with,2,1
Tay-Sachs,fbe179a14ccd4520,10100,Tay-Sachs disease,MONDO,2,592_24656_21698_7254,disease,alcohol-related disorders,MONDO_grouped,Tay-Sachs disease (disease) > SNCA (gene/protein) > alcohol-related disorders (disease),disease > gene/protein > disease,associated with > associated with,2,1
Tay-Sachs,96ec8557ec3b5d21,10100,Tay-Sachs disease,MONDO,2,100096,disease,COVID-19,MONDO,Tay-Sachs disease (disease) > SNCA (gene/protein) > COVID-19 (disease),disease > gene/protein > disease,associated with > associated with,2,1
Tay-Sachs,5fb282af1d022d13,10100,Tay-Sachs disease,MONDO,2,5292,disease,colitis,MONDO,Tay-Sachs disease (disease) > SNCA (gene/protein) > colitis (disease),disease > gene/protein > disease,associated with > associated with,2,1
Tay-Sachs,ed5949e22eb995aa,10100,Tay-Sachs disease,MONDO,2,8661,disease,vitiligo,MONDO,Tay-Sachs disease (disease) > SNCA (gene/protein) > vitiligo (disease),disease > gene/protein > disease,associated with > associated with,2,1
Tay-Sachs,61c2365d8e89b4f7,10100,Tay-Sachs disease,MONDO,2,5366,disease,chronic hepatitis B virus infection,MONDO,Tay-Sachs disease (disease) > SNCA (gene/protein) > chronic hepatitis B virus infection (disease),disease > gene/protein > disease,associated with > associated with,2,1
Tay-Sachs,690bf333fc006284,10100,Tay-Sachs disease,MONDO,2,5379,disease,neurotic disorder,MONDO,Tay-Sachs disease (disease) > SNCA (gene/protein) > neurotic disorder (disease),disease > gene/protein > disease,associated with > associated with,2,1
Tay-Sachs,0db13a5cb94eb2f3,10100,Tay-Sachs disease,MONDO,2,8903,disease,lung cancer,MONDO,Tay-Sachs disease (disease) > SNCA (gene/protein) > lung cancer (disease),disease > gene/protein > disease,associated with > associated with,2,1
Tay-Sachs,e098fa911b7f4b85,10100,Tay-Sachs disease,MONDO,2,9685,disease,Miyoshi myopathy,MONDO,Tay-Sachs disease (disease) > SNCA (gene/protein) > Miyoshi myopathy (disease),disease > gene/protein > disease,associated with > associated with,2,1
Tay-Sachs,5b91692f60f780ff,10100,Tay-Sachs disease,MONDO,2,9693,disease,plasma cell myeloma,MONDO,Tay-Sachs disease (disease) > SNCA (gene/protein) > plasma cell myeloma (disease),disease > gene/protein > disease,associated with > associated with,2,1
