,original_name,suggested_name,expected_entity_type,expected_tuis,PMID,relation,entity_side,umls_search_ok,suggested_cui,suggested_umls_name,suggested_semantic_types,suggested_semantic_type_names,type_match_expected_category
26,activated glial suppression,glial cell activation,phenotype,"T019,T020,T033,T034,T041,T184",10.3390/cells12242791,drug_effect,2,True,C4690080,glial cell activation,['T043'],['Cell Function'],False
27,inflammation suppression,Decreased inflammatory response,phenotype,"T019,T020,T033,T034,T041,T184",10.3390/cells12242791,drug_effect,2,True,C4022804,Decreased inflammatory response,['T046'],['Pathologic Function'],False
28,frequent +1 frameshifting,translational frameshifting,biological_process,"T038,T039",10.1016/j.isci.2024.109413,bioprocess_protein,2,True,C3821008,viral translational frameshifting,['T045'],['Genetic Function'],False
29,speech difficulties,Speech articulation difficulties,phenotype,"T019,T020,T033,T034,T041,T184",10.1186/s13023-025-04030-6,disease_phenotype_positive,2,True,C1865313,Speech articulation difficulties,['T033'],['Finding'],True
30,foamy neuron,CNS foam cells,phenotype,"T019,T020,T033,T034,T041,T184",10.1016/j.ymgme.2021.05.001,disease_phenotype_positive,2,True,C5558248,CNS foam cells,['T033'],['Finding'],True
31,ameliorated late-stage disease severity,Progressive neurologic deterioration,phenotype,"T019,T020,T033,T034,T041,T184",10.1371/journal.pone.0315005,drug_effect,2,True,C1854838,Progressive neurologic deterioration,['T033'],['Finding'],True
32,chronic neuroinflammation,neuroinflammatory response,phenotype,"T019,T020,T033,T034,T041,T184",10.1007/s11011-025-01553-6,disease_phenotype_positive,2,True,C5137640,neuroinflammatory response,['T046'],['Pathologic Function'],False
33,fall,Frequent falls,phenotype,"T019,T020,T033,T034,T041,T184",10.1016/j.gim.2025.101615,drug_effect,2,True,C0850703,Frequent falls,['T033'],['Finding'],True
34,postsynaptic receptors upregulation,postsynaptic neurotransmitter receptor activity,phenotype,"T019,T020,T033,T034,T041,T184",10.1016/j.nbd.2025.107099,phenotype_phenotype,2,True,C4328888,postsynaptic neurotransmitter receptor activity,['T044'],['Molecular Function'],False
35,hearing loss,hearing loss disorder,phenotype,"T019,T020,T033,T034,T041,T184",10.1093/qjmed/hcaf246,phenotype_protein,2,True,C0018784,Sensorineural Hearing Loss (disorder),['T047'],['Disease or Syndrome'],False
36,improved neurological status,Rapid neurologic deterioration,phenotype,"T019,T020,T033,T034,T041,T184",10.3390/life11101007,drug_effect,2,True,C4024908,Rapid neurologic deterioration,['T033'],['Finding'],True
37,neuropsychiatric symptom,cognitive disorder,phenotype,"T019,T020,T033,T034,T041,T184",10.1212/NXG.0000000000200205,disease_phenotype_positive,2,True,C0009241,Cognition Disorders,['T048'],['Mental or Behavioral Dysfunction'],False
38,enlarged neuron,Abnormal neuron morphology,phenotype,"T019,T020,T033,T034,T041,T184",10.1016/j.ymgme.2021.05.001,disease_phenotype_positive,2,True,C4022739,Abnormal neuron morphology,['T190'],['Anatomical Abnormality'],False
39,β-hexosaminidase mutation,Reduced beta-hexosaminidase A activity,protein/gene,"T028,T192",10.1016/j.ibneur.2022.01.004,phenotype_protein,1,True,C5970465,Reduced beta-hexosaminidase A activity,['T033'],['Finding'],False
40,cerebellar symptoms,cerebellar disease,phenotype,"T019,T020,T033,T034,T041,T184",10.5334/tohm.726,disease_phenotype_positive,2,True,C0007760,Cerebellar Diseases,['T047'],['Disease or Syndrome'],False
41,rapid central nervous system deterioration,Rapid neurologic deterioration,phenotype,"T019,T020,T033,T034,T041,T184",10.1016/j.ymgme.2024.108615,phenotype_phenotype,2,True,C4024908,Rapid neurologic deterioration,['T033'],['Finding'],True
42,rare genetic disease,genetic skin disease,disease,"T047,T048,T191",10.1186/s13023-024-03300-z,disease_disease,1,True,C0037277,"Skin Diseases, Genetic",['T047'],['Disease or Syndrome'],True
43,inhibited neuroinflammation,neuroinflammatory response,phenotype,"T019,T020,T033,T034,T041,T184",10.1007/s11011-025-01553-6,drug_effect,2,True,C5137640,neuroinflammatory response,['T046'],['Pathologic Function'],False
44,rescued lysosomal accumulation,lysosomal transport,phenotype,"T019,T020,T033,T034,T041,T184",10.3390/jpm15050196,drug_effect,2,True,C1156063,lysosomal transport,['T043'],['Cell Function'],False
45,lyso-platelet activating factors accumulation,platelet activating factor catabolic process,phenotype,"T019,T020,T033,T034,T041,T184",10.1016/j.ymgme.2025.109180,disease_phenotype_positive,2,True,C5380074,platelet activating factor catabolic process,['T044'],['Molecular Function'],False
46,prime editing,viral RNA editing,drug,"T121,T195,T200",10.1038/s41586-025-09732-2,drug_bioprocess|drug_effect,1,True,C3821012,viral RNA editing,['T045'],['Genetic Function'],False
47,increased cell death,cell death,phenotype,"T019,T020,T033,T034,T041,T184",10.1016/j.nbd.2025.107099,phenotype_anatomy|phenotype_phenotype,2,True,C0007587,Cell Death Process,['T043'],['Cell Function'],False
48,improved survival,NF-kB is activated and signals survival,phenotype,"T019,T020,T033,T034,T041,T184",10.3390/cells12242791,drug_effect,2,False,,,[],[],
49,sphingolipid hydrolases mutation,disorder of sphingolipid biosynthesis,protein/gene,"T028,T192",10.1007/s12031-021-01907-6,disease_protein,2,True,C5680990,"Disorder of phospholipids, sphingolipids and fatty acids biosynthesis",['T047'],['Disease or Syndrome'],False
50,accelerated mature cathepsins release,Increased circulating cathepsin D level,phenotype,"T019,T020,T033,T034,T041,T184",10.3390/cells10113122,disease_phenotype_positive,2,True,C5421667,Increased circulating cathepsin D level,['T033'],['Finding'],True
51,neurocognitive function,functional part of brain,phenotype,"T019,T020,T033,T034,T041,T184",63_40817303 (article 63),drug_effect,2,True,C5410883,Functional magnetic resonance imaging (MRI) of brain with test selection and administration of repetitive body part movement,['T060'],['Diagnostic Procedure'],False
52,lysosomal undegraded metabolites accumulation,Abnormality of lysosomal metabolism,phenotype,"T019,T020,T033,T034,T041,T184",10.1016/j.ymgme.2021.05.001,disease_phenotype_positive,2,True,C4025342,Abnormality of lysosomal metabolism,['T033'],['Finding'],True
53,mobility impairment,Abnormality of joint mobility,phenotype,"T019,T020,T033,T034,T041,T184",10.1186/s13023-025-04030-6,disease_phenotype_positive,2,True,C4023216,Abnormality of joint mobility,['T190'],['Anatomical Abnormality'],False
54,rescued disease pathology,DNA repair disease,phenotype,"T019,T020,T033,T034,T041,T184",10.1038/s41586-025-09732-2,drug_effect,2,False,,,[],[],
55,decreased phosphatidylserine,phosphatidylserine catabolic process,cellular_component,,10.3389/fmolb.2022.892248,cellcomp_protein,2,True,C1157952,phosphatidylserine catabolic process,['T044'],['Molecular Function'],
56,amyloid-beta accumulation,amyloid-beta formation,phenotype,"T019,T020,T033,T034,T041,T184",10.1016/j.ibneur.2022.01.004,disease_phenotype_positive|phenotype_protein,2,True,C2247791,amyloid-beta formation,['T044'],['Molecular Function'],False
57,seizures,Motor seizure,phenotype,"T019,T020,T033,T034,T041,T184",10.1016/j.nbd.2025.107099|10.7759/cureus.51797,disease_phenotype_positive,2,True,C5702914,Motor epileptic seizure,['T047'],['Disease or Syndrome'],False
58,reduced neuroinflammation,neuroinflammatory response,phenotype,"T019,T020,T033,T034,T041,T184",10.1007/s11011-025-01553-6,drug_effect,2,True,C5137640,neuroinflammatory response,['T046'],['Pathologic Function'],False
59,enzyme activity restoration,enzyme activator activity,phenotype,"T019,T020,T033,T034,T041,T184",10.1038/s41586-025-09732-2,drug_effect,2,True,C1152522,enzyme activator activity,['T044'],['Molecular Function'],False
60,recovered oxidative stress,response to oxidative stress,phenotype,"T019,T020,T033,T034,T041,T184",10.3390/ijms231810672,drug_effect,2,True,C1155312,response to oxidative stress,['T043'],['Cell Function'],False
61,slowly progressive cerebellar ataxia,Progressive cerebellar ataxia,phenotype,"T019,T020,T033,T034,T041,T184",10.1007/s10072-021-05757-3,disease_phenotype_positive,2,True,C0393525,Progressive cerebellar ataxia,['T047'],['Disease or Syndrome'],False
62,neuromuscular weakness,Generalized muscle weakness,phenotype,"T019,T020,T033,T034,T041,T184",10.1111/ene.16069,disease_phenotype_positive,2,True,C0746674,Generalized muscle weakness,['T184'],['Sign or Symptom'],True
63,glycosphingolipid synthesis,glycosphingolipid biosynthetic process,biological process,,10.1111/ene.15871,drug_bioprocess,2,True,C1157366,glycosphingolipid biosynthetic process,['T044'],['Molecular Function'],
64,gangliosidoses,gangliosidosis,disease,"T047,T048,T191",10.1016/j.gim.2022.09.001,disease_phenotype_positive,1,True,C0017083,Gangliosidoses,['T047'],['Disease or Syndrome'],True
65,lifespan extension,determination of adult lifespan,phenotype,"T019,T020,T033,T034,T041,T184",10.1016/j.omtm.2022.03.011,drug_effect,2,True,C2755803,determination of adult lifespan,['T038'],['Biologic Function'],False
66,improved behavior,behavior,phenotype,"T019,T020,T033,T034,T041,T184",10.3390/cells12242791,drug_effect,2,True,C0004927,Behavior,['T053'],['Behavior'],False
67,glioblastoma multiforme,glioblastoma (disease),disease,"T047,T048,T191",10.3389/fonc.2021.685893,disease_protein,1,False,,,[],[],
68,macular brown spot,Abnormality of macular pigmentation,phenotype,"T019,T020,T033,T034,T041,T184",10.1016/j.ajoc.2025.102381,disease_phenotype_positive|phenotype_anatomy|phenotype_phenotype,1|2,True,C4024756,Abnormality of macular pigmentation,['T190'],['Anatomical Abnormality'],False
69,propagermanium + ketogenic diet,Ameliorated by ketogenic diet,drug,"T121,T195,T200",10.1007/s11011-025-01553-6,drug_effect,1,True,C5826444,Ameliorated by ketogenic diet,['T080'],['Qualitative Concept'],False
70,autophagy inducer,Selective autophagy,molecular_function,T043,10.1016/j.ymgme.2024.108140,drug_bioprocess,2,True,C5907175,selective autophagy,['T043'],['Cell Function'],True
71,cherry-red spot,Cherry red spot of the macula,phenotype,"T019,T020,T033,T034,T041,T184",10.1016/j.ajoc.2025.102381|10.5546/aap.2022.eng.e25|10.7759/cureus.92445,disease_phenotype_positive|phenotype_phenotype,2,True,C2216370,Cherry red spot of the macula,['T033'],['Finding'],True
72,impaired autophagic flux,Suppression of autophagy,biological process | phenotype,"T019,T020,T033,T034,T041,T184",10.1016/j.ymgme.2024.108140|10.1371/journal.pone.0280650|10.3390/cells10113122,disease_bioprocess|disease_phenotype_positive|drug_bioprocess,2,True,C5137600,symbiont-mediated suppression of host autophagy,['T043'],['Cell Function'],False
73,spinal motor neuron degeneration,motor neuron disease,phenotype,"T019,T020,T033,T034,T041,T184",64_40819571(article 64),disease_phenotype_positive,2,True,C0085084,Motor Neuron Disease,['T047'],['Disease or Syndrome'],False
74,neuronal degeneration,Cerebral degeneration,phenotype,"T019,T020,T033,T034,T041,T184",10.1111/ene.16069,phenotype_phenotype,2,True,C0154671,Degenerative brain disorder,['T047'],['Disease or Syndrome'],False
75,progressive neurodegeneration,Cerebral degeneration,phenotype,"T019,T020,T033,T034,T041,T184",10.1186/s13023-025-04030-6,disease_phenotype_positive,2,True,C0154671,Degenerative brain disorder,['T047'],['Disease or Syndrome'],False
76,elevated lysophosphatidylcholine,Elevated circulating lysophosphatidylcholine concentration,cellular_component,,10.3389/fmolb.2022.892248,cellcomp_protein,2,True,C5937189,Elevated circulating lysophosphatidylcholine concentration,['T033'],['Finding'],
77,enzyme β-hexosaminidase deficiency,Increased serum beta-hexosaminidase,phenotype,"T019,T020,T033,T034,T041,T184",10.3390/ijms22136751,disease_phenotype_positive,2,True,C2673361,Increased serum beta-hexosaminidase,['T033'],['Finding'],True
78,iminosugar compounds,Aminophosphonic acid-guanylate ester,drug,"T121,T195,T200",10.1080/14756366.2022.2073444,drug_effect,1,False,,,[],[],
79,extended lifspan,extension,phenotype,"T019,T020,T033,T034,T041,T184",10.1172/JCI183434,drug_effect,2,True,C0231448,Extension,['T169'],['Functional Concept'],False
80,neuronal vacuolization,Muscle vacuoles,phenotype,"T019,T020,T033,T034,T041,T184",10.1016/j.ymgme.2021.05.001,disease_phenotype_positive,2,True,C5970321,Muscle vacuoles,['T033'],['Finding'],True
